input_city|city|country|month|high|low
Aš|could not be found|could not be found|could not be found|99|99
Bechyně|Bechyně|Czechia|January|2|-4
Bechyně|Bechyně|Czechia|February|4|-3
Bechyně|Bechyně|Czechia|March|9|0
Bechyně|Bechyně|Czechia|April|15|4
Bechyně|Bechyně|Czechia|May|19|8
Bechyně|Bechyně|Czechia|June|23|12
Bechyně|Bechyně|Czechia|July|25|14
Bechyně|Bechyně|Czechia|August|25|13
Bechyně|Bechyně|Czechia|September|19|9
Bechyně|Bechyně|Czechia|October|13|5
Bechyně|Bechyně|Czechia|November|7|1
Bechyně|Bechyně|Czechia|December|3|-3
Benesov nad Ploučnicí|Benešov nad Ploučnicí|Czechia|January|2|-3
Benesov nad Ploučnicí|Benešov nad Ploučnicí|Czechia|February|4|-2
Benesov nad Ploučnicí|Benešov nad Ploučnicí|Czechia|March|8|1
Benesov nad Ploučnicí|Benešov nad Ploučnicí|Czechia|April|14|5
Benesov nad Ploučnicí|Benešov nad Ploučnicí|Czechia|May|19|9
Benesov nad Ploučnicí|Benešov nad Ploučnicí|Czechia|June|22|12
Benesov nad Ploučnicí|Benešov nad Ploučnicí|Czechia|July|24|14
Benesov nad Ploučnicí|Benešov nad Ploučnicí|Czechia|August|24|14
Benesov nad Ploučnicí|Benešov nad Ploučnicí|Czechia|September|19|10
Benesov nad Ploučnicí|Benešov nad Ploučnicí|Czechia|October|13|6
Benesov nad Ploučnicí|Benešov nad Ploučnicí|Czechia|November|7|3
Benesov nad Ploučnicí|Benešov nad Ploučnicí|Czechia|December|3|-1
Bilina|Bílina|Czechia|January|2|-2
Bilina|Bílina|Czechia|February|4|-2
Bilina|Bílina|Czechia|March|8|1
Bilina|Bílina|Czechia|April|14|5
Bilina|Bílina|Czechia|May|20|10
Bilina|Bílina|Czechia|June|22|13
Bilina|Bílina|Czechia|July|24|15
Bilina|Bílina|Czechia|August|24|15
Bilina|Bílina|Czechia|September|19|11
Bilina|Bílina|Czechia|October|13|7
Bilina|Bílina|Czechia|November|7|2
Bilina|Bílina|Czechia|December|3|-1
Boskovice|Boskovice|Czechia|January|1|-4
Boskovice|Boskovice|Czechia|February|3|-3
Boskovice|Boskovice|Czechia|March|8|0
Boskovice|Boskovice|Czechia|April|14|5
Boskovice|Boskovice|Czechia|May|18|9
Boskovice|Boskovice|Czechia|June|22|12
Boskovice|Boskovice|Czechia|July|24|14
Boskovice|Boskovice|Czechia|August|24|14
Boskovice|Boskovice|Czechia|September|18|10
Boskovice|Boskovice|Czechia|October|12|5
Boskovice|Boskovice|Czechia|November|6|1
Boskovice|Boskovice|Czechia|December|1|-3
Brandýs nad Labem|Brandýs nad Labem-Stará Boleslav|Czechia|January|3|-2
Brandýs nad Labem|Brandýs nad Labem-Stará Boleslav|Czechia|February|4|-2
Brandýs nad Labem|Brandýs nad Labem-Stará Boleslav|Czechia|March|9|1
Brandýs nad Labem|Brandýs nad Labem-Stará Boleslav|Czechia|April|16|6
Brandýs nad Labem|Brandýs nad Labem-Stará Boleslav|Czechia|May|19|10
Brandýs nad Labem|Brandýs nad Labem-Stará Boleslav|Czechia|June|23|13
Brandýs nad Labem|Brandýs nad Labem-Stará Boleslav|Czechia|July|26|16
Brandýs nad Labem|Brandýs nad Labem-Stará Boleslav|Czechia|August|25|15
Brandýs nad Labem|Brandýs nad Labem-Stará Boleslav|Czechia|September|20|11
Brandýs nad Labem|Brandýs nad Labem-Stará Boleslav|Czechia|October|14|6
Brandýs nad Labem|Brandýs nad Labem-Stará Boleslav|Czechia|November|8|3
Brandýs nad Labem|Brandýs nad Labem-Stará Boleslav|Czechia|December|4|-1
Breclav|Breclav|Czechia|January|2|-4
Breclav|Breclav|Czechia|February|5|-3
Breclav|Breclav|Czechia|March|10|1
Breclav|Breclav|Czechia|April|16|5
Breclav|Breclav|Czechia|May|21|9
Breclav|Breclav|Czechia|June|24|13
Breclav|Breclav|Czechia|July|26|14
Breclav|Breclav|Czechia|August|26|14
Breclav|Breclav|Czechia|September|21|10
Breclav|Breclav|Czechia|October|14|6
Breclav|Breclav|Czechia|November|7|2
Breclav|Breclav|Czechia|December|3|-2
Brno|Brno|Czechia|January|1|-5
Brno|Brno|Czechia|February|4|-4
Brno|Brno|Czechia|March|9|0
Brno|Brno|Czechia|April|15|4
Brno|Brno|Czechia|May|20|8
Brno|Brno|Czechia|June|23|12
Brno|Brno|Czechia|July|26|13
Brno|Brno|Czechia|August|26|13
Brno|Brno|Czechia|September|20|9
Brno|Brno|Czechia|October|14|5
Brno|Brno|Czechia|November|7|1
Brno|Brno|Czechia|December|2|-3
Bystrice nad Olsi|Bystřice|Czechia|January|3|-2
Bystrice nad Olsi|Bystřice|Czechia|February|4|-2
Bystrice nad Olsi|Bystřice|Czechia|March|7|1
Bystrice nad Olsi|Bystřice|Czechia|April|12|5
Bystrice nad Olsi|Bystřice|Czechia|May|18|10
Bystrice nad Olsi|Bystřice|Czechia|June|21|13
Bystrice nad Olsi|Bystřice|Czechia|July|23|15
Bystrice nad Olsi|Bystřice|Czechia|August|23|15
Bystrice nad Olsi|Bystřice|Czechia|September|18|11
Bystrice nad Olsi|Bystřice|Czechia|October|13|7
Bystrice nad Olsi|Bystřice|Czechia|November|7|3
Bystrice nad Olsi|Bystřice|Czechia|December|4|-1
Čelákovice|Celakovice|Czechia|January|3|-2
Čelákovice|Celakovice|Czechia|February|4|-2
Čelákovice|Celakovice|Czechia|March|9|1
Čelákovice|Celakovice|Czechia|April|16|6
Čelákovice|Celakovice|Czechia|May|19|10
Čelákovice|Celakovice|Czechia|June|23|13
Čelákovice|Celakovice|Czechia|July|26|16
Čelákovice|Celakovice|Czechia|August|25|15
